"simple_linnean_group_alt","major_type","linnean_order","linnean_family","linnean_subfamily","linnean_tribe","species","subspecies","genus","internal_id","canonical_sciname","notes","citation","extinct?","juniorSynonym?","synonymOf?","newSppSinceMSW3?","IfNew_category","IfNew_valid_SciName","IfNew_described_SciName","IfNew_GeoRegion","IfNew_evidenceCitation","IfNew_evidenceAuthors","IfNew_evidenceYear","IfNew_evidenceLink","IfNew_nameCitation","IfNew_nameAuthors","IfNew_nameYear","IfNew_nameLink","genusTransfersinceMSW3?","IfTransfer_oldSciName","IfTransfer_oldIUCN_ID","IfTransfer_evidenceCitation"
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","evoronensis","","alexandromys","13429","Alexandromys evoronensis","transfered to Alexandromys","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus evoronensis"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","fortis","","alexandromys","400000009","Alexandromys fortis","previously included in Microtus","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus fortis"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","gromovi","","alexandromys","100000380","Alexandromys gromovi","reinstated, and moved to Alexandromys ","Sheremetyeva, I. N., Kartavtseva, I. V., Voyta, L. L., Kryukov, A. P., & Haring, E. (2009). Morphometric analysis of intraspecific variation in Microtus maximowiczii (Rodentia, Cricetidae) in relation to chromosomal differentiation with reinstatement of Microtus gromoviVorontsov, Boeskorov, Lyapunova et Revin, 1988, stat. nov. Journal of Zoological Systematics and Evolutionary Research, 47(1), 42-48.","false","false","","true","splitfromexisting","Alexandromys gromovi","Alexandromys gromovi"," notentered","Sheremetyeva, I. N., Kartavtseva, I. V., Voyta, L. L., Kryukov, A. P., & Haring, E. (2009). Morphometric analysis of intraspecific variation in Microtus maximowiczii (Rodentia, Cricetidae) in relation to chromosomal differentiation with reinstatement of Microtus gromoviVorontsov, Boeskorov, Lyapunova et Revin, 1988, stat. nov. Journal of Zoological Systematics & Evolutionary Research, 47(1), 42-48.","Sheremetyeva, I N., Kartavtseva, I V., Voyta, L L., Kryukov, A P., & Haring, E ","2009","http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0469.2008.00511.x/abstract","Vorontsov, N.N., Boeskorov, G.G., Lyapuova, E.A., Revin, Yu.V. 1988. A new chromosome form and variability of molars in voles Microtus maximowiczii (Rodentia, Cricetidae). Zoologicheskii Zhurnal 67(2), no. 2: 205-214. [in Russian]","Vorontsov, Boeskorov, Ljapunova & Revin","1988"," noneYet","true","Microtus gromovi"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","kikuchii","","alexandromys","400000010","Alexandromys kikuchii","previously included in Microtus","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus kikuchii"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","limnophilus","","alexandromys","400000011","Alexandromys limnophilus","previously included in Microtus","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus limnophilus"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","maximowiczii","","alexandromys","400000012","Alexandromys maximowiczii","previously included in Microtus","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus maximowiczii"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","middendorffii","","alexandromys","400000013","Alexandromys middendorffii","transferred to Alexandromys","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus middendorffii"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","mongolicus","","alexandromys","13445","Alexandromys mongolicus","transferred to Alexandromys","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus mongolicus"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","montebelli","","alexandromys","13446","Alexandromys montebelli","transferred to Alexandromys","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus montebelli"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"placentalia","boreoeutheria","rodentia","cricetidae","arvicolinae","microtini","mujanensis","","alexandromys","13447","Alexandromys mujanensis","transferred to Alexandromys","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170.","false","false","","false","","","","","","","","","","","","","true","Microtus mujanensis"," tolookup","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
