"id","species_authority","canonical_sciname","image","notes","authority_year","parens_auth_genus","internal_id","major_type","genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","simple_linnean_group","linnean_order","source","species","taxon_credit","taxon_credit_date","common_name","major_subtype","linnean_family","simple_linnean_subgroup"
"38","","Microgale longicaudata","","","","0","13344","","microgale","","0","","","","eutheria","afrosoricida","iucn","longicaudata","","","","","tenrecidae","tenrecs / golden moles"
"39","","Microgale majori","","","","0","62016","","microgale","","0","","","","eutheria","afrosoricida","iucn","majori","","","","","tenrecidae","tenrecs / golden moles"
"40","","Microgale monticola","","","","0","29462","","microgale","","0","","","","eutheria","afrosoricida","iucn","monticola","","","","","tenrecidae","tenrecs / golden moles"
"41","","Microgale nasoloi","","","","0","62017","","microgale","","0","","","","eutheria","afrosoricida","iucn","nasoloi","","","","","tenrecidae","tenrecs / golden moles"
"42","","Microgale parvula","","","","0","13349","","microgale","","0","","","","eutheria","afrosoricida","iucn","parvula","","","","","tenrecidae","tenrecs / golden moles"
"43","","Microgale principula","","","","0","13350","","microgale","","0","","","","eutheria","afrosoricida","iucn","principula","","","","","tenrecidae","tenrecs / golden moles"
"44","","Microgale pusilla","","","","0","41314","","microgale","","0","","","","eutheria","afrosoricida","iucn","pusilla","","","","","tenrecidae","tenrecs / golden moles"
"45","","Microgale soricoides","","","","0","62018","","microgale","","0","","","","eutheria","afrosoricida","iucn","soricoides","","","","","tenrecidae","tenrecs / golden moles"
"46","","Microgale taiva","","","","0","62019","","microgale","","0","","","","eutheria","afrosoricida","iucn","taiva","","","","","tenrecidae","tenrecs / golden moles"
"47","","Microgale talazaci","","","","0","41315","","microgale","","0","","","","eutheria","afrosoricida","iucn","talazaci","","","","","tenrecidae","tenrecs / golden moles"
"48","","Microgale thomasi","","","","0","13355","","microgale","","0","","","","eutheria","afrosoricida","iucn","thomasi","","","","","tenrecidae","tenrecs / golden moles"
"49","","Micropotamogale lamottei","","","","0","13393","","micropotamogale","","0","","","","eutheria","afrosoricida","iucn","lamottei","","","","","tenrecidae","tenrecs / golden moles"
"50","","Micropotamogale ruwenzorii","","","","0","13394","","micropotamogale","","0","","","","eutheria","afrosoricida","iucn","ruwenzorii","","","","","tenrecidae","tenrecs / golden moles"
"51","","Oryzorictes hova","","","","0","40589","","oryzorictes","","0","","","","eutheria","afrosoricida","iucn","hova","","","","","tenrecidae","tenrecs / golden moles"
"52","","Oryzorictes tetradactylus","","","","0","40591","","oryzorictes","","0","","","","eutheria","afrosoricida","iucn","tetradactylus","","","","","tenrecidae","tenrecs / golden moles"
"53","","Potamogale velox","","","","0","18095","","potamogale","","0","","","","eutheria","afrosoricida","iucn","velox","","","","","tenrecidae","tenrecs / golden moles"
"54","","Setifer setosus","","","","0","40594","","setifer","","0","","","","eutheria","afrosoricida","iucn","setosus","","","","","tenrecidae","tenrecs / golden moles"
"55","","Tenrec ecaudatus","","","","0","40595","","tenrec","","0","","","","eutheria","afrosoricida","iucn","ecaudatus","","","","","tenrecidae","tenrecs / golden moles"
"56","","Antilocapra americana","","","","0","1677","","antilocapra","","0","","","","eutheria","artiodactyla","iucn","americana","","","","","antilocapridae","non-cervoid ruminants"
"57","","Balaena mysticetus","","","","0","2467","","balaena","","0","","","","eutheria","artiodactyla","iucn","mysticetus","","","","","balaenidae","whales / dolphins"
"58","","Eubalaena australis","","","","0","8153","","eubalaena","","0","","","","eutheria","artiodactyla","iucn","australis","","","","","balaenidae","whales / dolphins"
"59","","Eubalaena glacialis","","","","0","41712","","eubalaena","","0","","","","eutheria","artiodactyla","iucn","glacialis","","","","","balaenidae","whales / dolphins"
"60","","Eubalaena japonica","","","","0","41711","","eubalaena","","0","","","","eutheria","artiodactyla","iucn","japonica","","","","","balaenidae","whales / dolphins"
"61","","Balaenoptera acutorostrata","","","","0","2474","","balaenoptera","","0","","","","eutheria","artiodactyla","iucn","acutorostrata","","","","","balaenopteridae","whales / dolphins"
