"id","species_authority","canonical_sciname","image","notes","authority_year","parens_auth_genus","internal_id","major_type","genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","simple_linnean_group","linnean_order","source","species","taxon_credit","taxon_credit_date","common_name","major_subtype","linnean_family","simple_linnean_subgroup"
"1563","","Glauconycteris argentata","","","","0","44790","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","argentata","","","","","vespertilionidae","bats"
"1564","","Glauconycteris beatrix","","","","0","44791","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","beatrix","","","","","vespertilionidae","bats"
"1565","","Glauconycteris curryae","","","","0","44792","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","curryae","","","","","vespertilionidae","bats"
"1566","","Glauconycteris egeria","","","","0","44793","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","egeria","","","","","vespertilionidae","bats"
"1567","","Glauconycteris gleni","","","","0","44794","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","gleni","","","","","vespertilionidae","bats"
"1568","","Glauconycteris humeralis","","","","0","44795","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","humeralis","","","","","vespertilionidae","bats"
"1569","","Glauconycteris kenyacola","","","","0","44796","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","kenyacola","","","","","vespertilionidae","bats"
"1570","","Glauconycteris machadoi","","","","0","44797","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","machadoi","","","","","vespertilionidae","bats"
"1571","","Glauconycteris poensis","","","","0","44798","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","poensis","","","","","vespertilionidae","bats"
"1572","","Glauconycteris superba","","","","0","44799","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","superba","","","","","vespertilionidae","bats"
"1573","","Glauconycteris variegata","","","","0","44800","","glauconycteris","","0","","","","eutheria","chiroptera","iucn","variegata","","","","","vespertilionidae","bats"
"1574","","Glischropus aquilus","","","","0","100000113","","glischropus","","0","","","","eutheria","chiroptera","newsp","aquilus","","","","","vespertilionidae","bats"
"1575","","Glischropus bucephalus","","","","0","100000114","","glischropus","","0","","","","eutheria","chiroptera","newsp","bucephalus","","","","","vespertilionidae","bats"
"1576","","Glischropus javanus","","","","0","9247","","glischropus","","0","","","","eutheria","chiroptera","iucn","javanus","","","","","vespertilionidae","bats"
"1577","","Glischropus tylopus","","","","0","9248","","glischropus","","0","","","","eutheria","chiroptera","iucn","tylopus","","","","","vespertilionidae","bats"
"1578","","Harpiocephalus harpia","","","","0","9736","","harpiocephalus","","0","","","","eutheria","chiroptera","iucn","harpia","","","","","vespertilionidae","bats"
"1579","","Harpiocephalus mordax","","","","0","9737","","harpiocephalus","","0","","","","eutheria","chiroptera","iucn","mordax","","","","","vespertilionidae","bats"
"1580","","Harpiola grisea","","","","0","13941","","harpiola","","0","","","","eutheria","chiroptera","iucn","grisea","","","","","vespertilionidae","bats"
"1581","","Harpiola isodon","","","","0","136445","","harpiola","","0","","","","eutheria","chiroptera","iucn","isodon","","","","","vespertilionidae","bats"
"1582","","Hesperoptenus blanfordi","","","","0","9975","","hesperoptenus","","0","","","","eutheria","chiroptera","iucn","blanfordi","","","","","vespertilionidae","bats"
"1583","","Hesperoptenus doriae","","","","0","9976","","hesperoptenus","","0","","","","eutheria","chiroptera","iucn","doriae","","","","","vespertilionidae","bats"
"1584","","Hesperoptenus gaskelli","","","","0","9977","","hesperoptenus","","0","","","","eutheria","chiroptera","iucn","gaskelli","","","","","vespertilionidae","bats"
"1585","","Hesperoptenus tickelli","","","","0","9978","","hesperoptenus","","0","","","","eutheria","chiroptera","iucn","tickelli","","","","","vespertilionidae","bats"
"1586","","Hesperoptenus tomesi","","","","0","9979","","hesperoptenus","","0","","","","eutheria","chiroptera","iucn","tomesi","","","","","vespertilionidae","bats"
"1587","","Histiotus alienus","","","","0","10200","","histiotus","","0","","","","eutheria","chiroptera","iucn","alienus","","","","","vespertilionidae","bats"
"1588","","Histiotus humboldti","","","","0","29606","","histiotus","","0","","","","eutheria","chiroptera","iucn","humboldti","","","","","vespertilionidae","bats"
"1589","","Histiotus laephotis","","","","0","136502","","histiotus","","0","","","","eutheria","chiroptera","iucn","laephotis","","","","","vespertilionidae","bats"
"1590","","Histiotus macrotus","","","","0","10201","","histiotus","","0","","","","eutheria","chiroptera","iucn","macrotus","","","","","vespertilionidae","bats"
"1591","","Histiotus magellanicus","","","","0","136292","","histiotus","","0","","","","eutheria","chiroptera","iucn","magellanicus","","","","","vespertilionidae","bats"
"1592","","Histiotus montanus","","","","0","10202","","histiotus","","0","","","","eutheria","chiroptera","iucn","montanus","","","","","vespertilionidae","bats"
"1593","","Histiotus velatus","","","","0","10203","","histiotus","","0","","","","eutheria","chiroptera","iucn","velatus","","","","","vespertilionidae","bats"
"1594","","Hypsugo anchietae","","","","0","44851","","hypsugo","","0","","","","eutheria","chiroptera","iucn","anchietae","","","","","vespertilionidae","bats"
"1595","","Hypsugo bemainty","","","","0","100000137","","hypsugo","","0","","","","eutheria","chiroptera","newsp","bemainty","","","","","vespertilionidae","bats"
"1596","","Hypsugo dolichodon","","","","0","100000138","","hypsugo","","0","","","","eutheria","chiroptera","newsp","dolichodon","","","","","vespertilionidae","bats"
"1597","","Hypsugo lanzai","","","","0","100000139","","hypsugo","","0","","","","eutheria","chiroptera","newsp","lanzai","","","","","vespertilionidae","bats"
"1598","","Ia io","","","","0","10755","","ia","","0","","","","eutheria","chiroptera","iucn","io","","","","","vespertilionidae","bats"
"1599","","Idionycteris phyllotis","","","","0","10790","","idionycteris","","0","","","","eutheria","chiroptera","iucn","phyllotis","","","","","vespertilionidae","bats"
"1600","","Kerivoula africana","","","","0","10966","","kerivoula","","0","","","","eutheria","chiroptera","iucn","africana","","","","","vespertilionidae","bats"
"1601","","Kerivoula agnella","","","","0","10968","","kerivoula","","0","","","","eutheria","chiroptera","iucn","agnella","","","","","vespertilionidae","bats"
"1602","","Kerivoula argentata","","","","0","10969","","kerivoula","","0","","","","eutheria","chiroptera","iucn","argentata","","","","","vespertilionidae","bats"
"1603","","Kerivoula cuprosa","","","","0","10971","","kerivoula","","0","","","","eutheria","chiroptera","iucn","cuprosa","","","","","vespertilionidae","bats"
"1604","","Kerivoula eriophora","","","","0","10972","","kerivoula","","0","","","","eutheria","chiroptera","iucn","eriophora","","","","","vespertilionidae","bats"
"1605","","Kerivoula flora","","","","0","10973","","kerivoula","","0","","","","eutheria","chiroptera","iucn","flora","","","","","vespertilionidae","bats"
"1606","","Kerivoula hardwickii","","","","0","10974","","kerivoula","","0","","","","eutheria","chiroptera","iucn","hardwickii","","","","","vespertilionidae","bats"
"1607","","Kerivoula intermedia","","","","0","10975","","kerivoula","","0","","","","eutheria","chiroptera","iucn","intermedia","","","","","vespertilionidae","bats"
"1608","","Kerivoula kachinensis","","","","0","136240","","kerivoula","","0","","","","eutheria","chiroptera","iucn","kachinensis","","","","","vespertilionidae","bats"
"1609","","Kerivoula krauensis","","","","0","136572","","kerivoula","","0","","","","eutheria","chiroptera","iucn","krauensis","","","","","vespertilionidae","bats"
"1610","","Kerivoula lanosa","","","","0","10977","","kerivoula","","0","","","","eutheria","chiroptera","iucn","lanosa","","","","","vespertilionidae","bats"
"1611","","Kerivoula lenis","","","","0","136428","","kerivoula","","0","","","","eutheria","chiroptera","iucn","lenis","","","","","vespertilionidae","bats"
"1612","","Kerivoula minuta","","","","0","10978","","kerivoula","","0","","","","eutheria","chiroptera","iucn","minuta","","","","","vespertilionidae","bats"
"1613","","Kerivoula muscina","","","","0","10979","","kerivoula","","0","","","","eutheria","chiroptera","iucn","muscina","","","","","vespertilionidae","bats"
"1614","","Kerivoula myrella","","","","0","10980","","kerivoula","","0","","","","eutheria","chiroptera","iucn","myrella","","","","","vespertilionidae","bats"
"1615","","Kerivoula papillosa","","","","0","10981","","kerivoula","","0","","","","eutheria","chiroptera","iucn","papillosa","","","","","vespertilionidae","bats"
"1616","","Kerivoula pellucida","","","","0","10983","","kerivoula","","0","","","","eutheria","chiroptera","iucn","pellucida","","","","","vespertilionidae","bats"
"1617","","Kerivoula phalaena","","","","0","10984","","kerivoula","","0","","","","eutheria","chiroptera","iucn","phalaena","","","","","vespertilionidae","bats"
"1618","","Kerivoula picta","","","","0","10985","","kerivoula","","0","","","","eutheria","chiroptera","iucn","picta","","","","","vespertilionidae","bats"
"1619","","Kerivoula smithii","","","","0","10986","","kerivoula","","0","","","","eutheria","chiroptera","iucn","smithii","","","","","vespertilionidae","bats"
"1620","","Kerivoula titania","","","","0","136817","","kerivoula","","0","","","","eutheria","chiroptera","iucn","titania","","","","","vespertilionidae","bats"
"1621","","Kerivoula whiteheadi","","","","0","10987","","kerivoula","","0","","","","eutheria","chiroptera","iucn","whiteheadi","","","","","vespertilionidae","bats"
"1622","","Laephotis angolensis","","","","0","11135","","laephotis","","0","","","","eutheria","chiroptera","iucn","angolensis","","","","","vespertilionidae","bats"
"1623","","Laephotis botswanae","","","","0","11136","","laephotis","","0","","","","eutheria","chiroptera","iucn","botswanae","","","","","vespertilionidae","bats"
"1624","","Laephotis namibensis","","","","0","11137","","laephotis","","0","","","","eutheria","chiroptera","iucn","namibensis","","","","","vespertilionidae","bats"
"1625","","Laephotis wintoni","","","","0","11138","","laephotis","","0","","","","eutheria","chiroptera","iucn","wintoni","","","","","vespertilionidae","bats"
"1626","","Lasionycteris noctivagans","","","","0","11339","","lasionycteris","","0","","","","eutheria","chiroptera","iucn","noctivagans","","","","","vespertilionidae","bats"
"1627","","Lasiurus atratus","","","","0","29607","","lasiurus","","0","","","","eutheria","chiroptera","iucn","atratus","","","","","vespertilionidae","bats"
"1628","","Lasiurus blossevillii","","","","0","11346","","lasiurus","","0","","","","eutheria","chiroptera","iucn","blossevillii","","","","","vespertilionidae","bats"
"1629","","Lasiurus borealis","","","","0","11347","","lasiurus","","0","","","","eutheria","chiroptera","iucn","borealis","","","","","vespertilionidae","bats"
"1630","","Lasiurus castaneus","","","","0","11348","","lasiurus","","0","","","","eutheria","chiroptera","iucn","castaneus","","","","","vespertilionidae","bats"
"1631","","Lasiurus cinereus","","","","0","11345","","lasiurus","","0","","","","eutheria","chiroptera","iucn","cinereus","","","","","vespertilionidae","bats"
"1632","","Lasiurus degelidus","","","","0","136306","","lasiurus","","0","","","","eutheria","chiroptera","iucn","degelidus","","","","","vespertilionidae","bats"
"1633","","Lasiurus ebenus","","","","0","11349","","lasiurus","","0","","","","eutheria","chiroptera","iucn","ebenus","","","","","vespertilionidae","bats"
"1634","","Lasiurus ega","","","","0","11350","","lasiurus","","0","","","","eutheria","chiroptera","iucn","ega","","","","","vespertilionidae","bats"
"1635","","Lasiurus egregius","","","","0","11351","","lasiurus","","0","","","","eutheria","chiroptera","iucn","egregius","","","","","vespertilionidae","bats"
"1636","","Lasiurus insularis","","","","0","136754","","lasiurus","","0","","","","eutheria","chiroptera","iucn","insularis","","","","","vespertilionidae","bats"
"1637","","Lasiurus intermedius","","","","0","11352","","lasiurus","","0","","","","eutheria","chiroptera","iucn","intermedius","","","","","vespertilionidae","bats"
"1638","","Lasiurus minor","","","","0","136627","","lasiurus","","0","","","","eutheria","chiroptera","iucn","minor","","","","","vespertilionidae","bats"
"1639","","Lasiurus pfeifferi","","","","0","136217","","lasiurus","","0","","","","eutheria","chiroptera","iucn","pfeifferi","","","","","vespertilionidae","bats"
"1640","","Lasiurus seminolus","","","","0","11353","","lasiurus","","0","","","","eutheria","chiroptera","iucn","seminolus","","","","","vespertilionidae","bats"
"1641","","Lasiurus varius","","","","0","136690","","lasiurus","","0","","","","eutheria","chiroptera","iucn","varius","","","","","vespertilionidae","bats"
"1642","","Lasiurus xanthinus","","","","0","41532","","lasiurus","","0","","","","eutheria","chiroptera","iucn","xanthinus","","","","","vespertilionidae","bats"
"1643","","Mimetillus moloneyi","","","","0","13556","","mimetillus","","0","","","","eutheria","chiroptera","iucn","moloneyi","","","","","vespertilionidae","bats"
"1644","","Miniopterus aelleni","","","","0","100000179","","miniopterus","","0","","","","eutheria","chiroptera","newsp","aelleni","","","","","vespertilionidae","bats"
"1645","","Miniopterus ambohitrensis","","","","0","100000180","","miniopterus","","0","","","","eutheria","chiroptera","newsp","ambohitrensis","","","","","vespertilionidae","bats"
"1646","","Miniopterus australis","","","","0","13562","","miniopterus","","0","","","","eutheria","chiroptera","iucn","australis","","","","","vespertilionidae","bats"
"1647","","Miniopterus brachytragos","","","","0","100000181","","miniopterus","","0","","","","eutheria","chiroptera","newsp","brachytragos","","","","","vespertilionidae","bats"
"1648","","Miniopterus egeri","","","","0","100000182","","miniopterus","","0","","","","eutheria","chiroptera","newsp","egeri","","","","","vespertilionidae","bats"
"1649","","Miniopterus fraterculus","","","","0","13563","","miniopterus","","0","","","","eutheria","chiroptera","iucn","fraterculus","","","","","vespertilionidae","bats"
"1650","","Miniopterus fuliginosus","","","","0","136514","","miniopterus","","0","","","","eutheria","chiroptera","iucn","fuliginosus","","","","","vespertilionidae","bats"
"1651","","Miniopterus fuscus","","","","0","13564","","miniopterus","","0","","","","eutheria","chiroptera","iucn","fuscus","","","","","vespertilionidae","bats"
"1652","","Miniopterus gleni","","","","0","29608","","miniopterus","","0","","","","eutheria","chiroptera","iucn","gleni","","","","","vespertilionidae","bats"
"1653","","Miniopterus griffithsi","","","","0","100000183","","miniopterus","","0","","","","eutheria","chiroptera","newsp","griffithsi","","","","","vespertilionidae","bats"
"1654","","Miniopterus griveaudi","","","","0","136752","","miniopterus","","0","","","","eutheria","chiroptera","iucn","griveaudi","","","","","vespertilionidae","bats"
"1655","","Miniopterus inflatus","","","","0","13565","","miniopterus","","0","","","","eutheria","chiroptera","iucn","inflatus","","","","","vespertilionidae","bats"
"1656","","Miniopterus macrocneme","","","","0","136579","","miniopterus","","0","","","","eutheria","chiroptera","iucn","macrocneme","","","","","vespertilionidae","bats"
"1657","","Miniopterus maghrebensis","","","","0","100000184","","miniopterus","","0","","","","eutheria","chiroptera","newsp","maghrebensis","","","","","vespertilionidae","bats"
"1658","","Miniopterus magnater","","","","0","13566","","miniopterus","","0","","","","eutheria","chiroptera","iucn","magnater","","","","","vespertilionidae","bats"
"1659","","Miniopterus mahafaliensis","","","","0","100000185","","miniopterus","","0","","","","eutheria","chiroptera","newsp","mahafaliensis","","","","","vespertilionidae","bats"
"1660","","Miniopterus majori","","","","0","40039","","miniopterus","","0","","","","eutheria","chiroptera","iucn","majori","","","","","vespertilionidae","bats"
"1661","","Miniopterus manavi","","","","0","40040","","miniopterus","","0","","","","eutheria","chiroptera","iucn","manavi","","","","","vespertilionidae","bats"
"1662","","Miniopterus medius","","","","0","13567","","miniopterus","","0","","","","eutheria","chiroptera","iucn","medius","","","","","vespertilionidae","bats"
"1663","","Miniopterus minor","","","","0","13568","","miniopterus","","0","","","","eutheria","chiroptera","iucn","minor","","","","","vespertilionidae","bats"
"1664","","Miniopterus mossambicus","","","","0","100000186","","miniopterus","","0","","","","eutheria","chiroptera","newsp","mossambicus","","","","","vespertilionidae","bats"
"1665","","Miniopterus natalensis","","","","0","44862","","miniopterus","","0","","","","eutheria","chiroptera","iucn","natalensis","","","","","vespertilionidae","bats"
"1666","","Miniopterus newtoni","","","","0","136310","","miniopterus","","0","","","","eutheria","chiroptera","iucn","newtoni","","","","","vespertilionidae","bats"
"1667","","Miniopterus oceanensis","","","","0","136337","","miniopterus","","0","","","","eutheria","chiroptera","iucn","oceanensis","","","","","vespertilionidae","bats"
"1668","","Miniopterus paululus","","","","0","136233","","miniopterus","","0","","","","eutheria","chiroptera","iucn","paululus","","","","","vespertilionidae","bats"
"1669","","Miniopterus petersoni","","","","0","136788","","miniopterus","","0","","","","eutheria","chiroptera","iucn","petersoni","","","","","vespertilionidae","bats"
"1670","","Miniopterus pusillus","","","","0","13569","","miniopterus","","0","","","","eutheria","chiroptera","iucn","pusillus","","","","","vespertilionidae","bats"
"1671","","Miniopterus robustior","","","","0","13570","","miniopterus","","0","","","","eutheria","chiroptera","iucn","robustior","","","","","vespertilionidae","bats"
"1672","","Miniopterus schreibersii","","","","0","13561","","miniopterus","","0","","","","eutheria","chiroptera","iucn","schreibersii","","","","","vespertilionidae","bats"
"1673","","Miniopterus shortridgei","","","","0","136827","","miniopterus","","0","","","","eutheria","chiroptera","iucn","shortridgei","","","","","vespertilionidae","bats"
"1674","","Miniopterus sororculus","","","","0","136401","","miniopterus","","0","","","","eutheria","chiroptera","iucn","sororculus","","","","","vespertilionidae","bats"
"1675","","Miniopterus tristis","","","","0","13571","","miniopterus","","0","","","","eutheria","chiroptera","iucn","tristis","","","","","vespertilionidae","bats"
"1676","","Murina aenea","","","","0","13936","","murina","","0","","","","eutheria","chiroptera","iucn","aenea","","","","","vespertilionidae","bats"
"1677","","Murina annamitica","","","","0","100000201","","murina","","0","","","","eutheria","chiroptera","newsp","annamitica","","","","","vespertilionidae","bats"
"1678","","Murina aurata","","","","0","13937","","murina","","0","","","","eutheria","chiroptera","iucn","aurata","","","","","vespertilionidae","bats"
"1679","","Murina balaensis","","","","0","100000202","","murina","","0","","","","eutheria","chiroptera","newsp","balaensis","","","","","vespertilionidae","bats"
"1680","","Murina beelzebub","","","","0","100000203","","murina","","0","","","","eutheria","chiroptera","newsp","beelzebub","","","","","vespertilionidae","bats"
"1681","","Murina bicolor","","","","0","100000204","","murina","","0","","","","eutheria","chiroptera","newsp","bicolor","","","","","vespertilionidae","bats"
"1682","","Murina chrysochaetes","","","","0","100000205","","murina","","0","","","","eutheria","chiroptera","newsp","chrysochaetes","","","","","vespertilionidae","bats"
"1683","","Murina cineracea","","","","0","100000206","","murina","","0","","","","eutheria","chiroptera","newsp","cineracea","","","","","vespertilionidae","bats"
"1684","","Murina cyclotis","","","","0","13938","","murina","","0","","","","eutheria","chiroptera","iucn","cyclotis","","","","","vespertilionidae","bats"
"1685","","Murina eleryi","","","","0","100000207","","murina","","0","","","","eutheria","chiroptera","newsp","eleryi","","","","","vespertilionidae","bats"
"1686","","Murina fionae","","","","0","100000208","","murina","","0","","","","eutheria","chiroptera","newsp","fionae","","","","","vespertilionidae","bats"
"1687","","Murina florium","","","","0","13939","","murina","","0","","","","eutheria","chiroptera","iucn","florium","","","","","vespertilionidae","bats"
"1688","","Murina fusca","","","","0","13940","","murina","","0","","","","eutheria","chiroptera","iucn","fusca","","","","","vespertilionidae","bats"
"1689","","Murina gracilis","","","","0","100000209","","murina","","0","","","","eutheria","chiroptera","newsp","gracilis","","","","","vespertilionidae","bats"
"1690","","Murina guilleni","","","","0","100000210","","murina","","0","","","","eutheria","chiroptera","newsp","guilleni","","","","","vespertilionidae","bats"
"1691","","Murina harpioloides","","","","0","100000211","","murina","","0","","","","eutheria","chiroptera","newsp","harpioloides","","","","","vespertilionidae","bats"
"1692","","Murina harrisoni","","","","0","136558","","murina","","0","","","","eutheria","chiroptera","iucn","harrisoni","","","","","vespertilionidae","bats"
"1693","","Murina hilgendorfi","","","","0","136409","","murina","","0","","","","eutheria","chiroptera","iucn","hilgendorfi","","","","","vespertilionidae","bats"
"1694","","Murina huttoni","","","","0","13942","","murina","","0","","","","eutheria","chiroptera","iucn","huttoni","","","","","vespertilionidae","bats"
"1695","","Murina jaintiana","","","","0","100000212","","murina","","0","","","","eutheria","chiroptera","newsp","jaintiana","","","","","vespertilionidae","bats"
"1696","","Murina leucogaster","","","","0","13943","","murina","","0","","","","eutheria","chiroptera","iucn","leucogaster","","","","","vespertilionidae","bats"
"1697","","Murina loreliae","","","","0","100000213","","murina","","0","","","","eutheria","chiroptera","newsp","loreliae","","","","","vespertilionidae","bats"
"1698","","Murina peninsularis","","","","0","100000214","","murina","","0","","","","eutheria","chiroptera","newsp","peninsularis","","","","","vespertilionidae","bats"
"1699","","Murina pluvialis","","","","0","100000215","","murina","","0","","","","eutheria","chiroptera","newsp","pluvialis","","","","","vespertilionidae","bats"
"1700","","Murina puta","","","","0","13944","","murina","","0","","","","eutheria","chiroptera","iucn","puta","","","","","vespertilionidae","bats"
"1701","","Murina recondita","","","","0","100000216","","murina","","0","","","","eutheria","chiroptera","newsp","recondita","","","","","vespertilionidae","bats"
"1702","","Murina rozendaali","","","","0","13945","","murina","","0","","","","eutheria","chiroptera","iucn","rozendaali","","","","","vespertilionidae","bats"
"1703","","Murina ryukyuana","","","","0","29485","","murina","","0","","","","eutheria","chiroptera","iucn","ryukyuana","","","","","vespertilionidae","bats"
"1704","","Murina shuipuensis","","","","0","100000217","","murina","","0","","","","eutheria","chiroptera","newsp","shuipuensis","","","","","vespertilionidae","bats"
"1705","","Murina suilla","","","","0","13947","","murina","","0","","","","eutheria","chiroptera","iucn","suilla","","","","","vespertilionidae","bats"
"1706","","Murina tenebrosa","","","","0","13948","","murina","","0","","","","eutheria","chiroptera","iucn","tenebrosa","","","","","vespertilionidae","bats"
"1707","","Murina tiensa","","","","0","100000218","","murina","","0","","","","eutheria","chiroptera","newsp","tiensa","","","","","vespertilionidae","bats"
"1708","","Murina tubinaris","","","","0","13949","","murina","","0","","","","eutheria","chiroptera","iucn","tubinaris","","","","","vespertilionidae","bats"
"1709","","Murina ussuriensis","","","","0","13950","","murina","","0","","","","eutheria","chiroptera","iucn","ussuriensis","","","","","vespertilionidae","bats"
"1710","","Murina walstoni","","","","0","100000219","","murina","","0","","","","eutheria","chiroptera","newsp","walstoni","","","","","vespertilionidae","bats"
"1711","","Myotis adversus","","","","0","14138","","myotis","","0","","","","eutheria","chiroptera","iucn","adversus","","","","","vespertilionidae","bats"
"1712","","Myotis aelleni","","","","0","14139","","myotis","","0","","","","eutheria","chiroptera","iucn","aelleni","","","","","vespertilionidae","bats"
"1713","","Myotis albescens","","","","0","14140","","myotis","","0","","","","eutheria","chiroptera","iucn","albescens","","","","","vespertilionidae","bats"
"1714","","Myotis alcathoe","","","","0","136680","","myotis","","0","","","","eutheria","chiroptera","iucn","alcathoe","","","","","vespertilionidae","bats"
"1715","","Myotis altarium","","","","0","14141","","myotis","","0","","","","eutheria","chiroptera","iucn","altarium","","","","","vespertilionidae","bats"
"1716","","Myotis anjouanensis","","","","0","44863","","myotis","","0","","","","eutheria","chiroptera","iucn","anjouanensis","","","","","vespertilionidae","bats"
"1717","","Myotis annamiticus","","","","0","136279","","myotis","","0","","","","eutheria","chiroptera","iucn","annamiticus","","","","","vespertilionidae","bats"
"1718","","Myotis annectans","","","","0","14142","","myotis","","0","","","","eutheria","chiroptera","iucn","annectans","","","","","vespertilionidae","bats"
"1719","","Myotis atacamensis","","","","0","14143","","myotis","","0","","","","eutheria","chiroptera","iucn","atacamensis","","","","","vespertilionidae","bats"
"1720","","Myotis ater","","","","0","14144","","myotis","","0","","","","eutheria","chiroptera","iucn","ater","","","","","vespertilionidae","bats"
"1721","","Myotis aurascens","","","","0","136553","","myotis","","0","","","","eutheria","chiroptera","iucn","aurascens","","","","","vespertilionidae","bats"
"1722","","Myotis auriculus","","","","0","14145","","myotis","","0","","","","eutheria","chiroptera","iucn","auriculus","","","","","vespertilionidae","bats"
"1723","","Myotis australis","","","","0","14146","","myotis","","0","","","","eutheria","chiroptera","iucn","australis","","","","","vespertilionidae","bats"
"1724","","Myotis austroriparius","","","","0","14147","","myotis","","0","","","","eutheria","chiroptera","iucn","austroriparius","","","","","vespertilionidae","bats"
"1725","","Myotis badius","","","","0","100000229","","myotis","","0","","","","eutheria","chiroptera","newsp","badius","","","","","vespertilionidae","bats"
"1726","","Myotis bechsteinii","","","","0","14123","","myotis","","0","","","","eutheria","chiroptera","iucn","bechsteinii","","","","","vespertilionidae","bats"
"1727","","Myotis blythii","","","","0","14124","","myotis","","0","","","","eutheria","chiroptera","iucn","blythii","","","","","vespertilionidae","bats"
"1728","","Myotis bocagii","","","","0","14148","","myotis","","0","","","","eutheria","chiroptera","iucn","bocagii","","","","","vespertilionidae","bats"
"1729","","Myotis bombinus","","","","0","14149","","myotis","","0","","","","eutheria","chiroptera","iucn","bombinus","","","","","vespertilionidae","bats"
"1730","","Myotis brandtii","","","","0","14125","","myotis","","0","","","","eutheria","chiroptera","iucn","brandtii","","","","","vespertilionidae","bats"
"1731","","Myotis bucharensis","","","","0","136219","","myotis","","0","","","","eutheria","chiroptera","iucn","bucharensis","","","","","vespertilionidae","bats"
"1732","","Myotis californicus","","","","0","14150","","myotis","","0","","","","eutheria","chiroptera","iucn","californicus","","","","","vespertilionidae","bats"
"1733","","Myotis capaccinii","","","","0","14126","","myotis","","0","","","","eutheria","chiroptera","iucn","capaccinii","","","","","vespertilionidae","bats"
"1734","","Myotis chiloensis","","","","0","14151","","myotis","","0","","","","eutheria","chiroptera","iucn","chiloensis","","","","","vespertilionidae","bats"
"1735","","Myotis chinensis","","","","0","14152","","myotis","","0","","","","eutheria","chiroptera","iucn","chinensis","","","","","vespertilionidae","bats"
"1736","","Myotis ciliolabrum","","","","0","14153","","myotis","","0","","","","eutheria","chiroptera","iucn","ciliolabrum","","","","","vespertilionidae","bats"
"1737","","Myotis cobanensis","","","","0","14154","","myotis","","0","","","","eutheria","chiroptera","iucn","cobanensis","","","","","vespertilionidae","bats"
"1738","","Myotis csorbai","","","","0","29420","","myotis","","0","","","","eutheria","chiroptera","iucn","csorbai","","","","","vespertilionidae","bats"
"1739","","Myotis dasycneme","","","","0","14127","","myotis","","0","","","","eutheria","chiroptera","iucn","dasycneme","","","","","vespertilionidae","bats"
"1740","","Myotis daubentonii","","","","0","14128","","myotis","","0","","","","eutheria","chiroptera","iucn","daubentonii","","","","","vespertilionidae","bats"
"1741","","Myotis davidii","","","","0","136250","","myotis","","0","","","","eutheria","chiroptera","iucn","davidii","","","","","vespertilionidae","bats"
"1742","","Myotis dieteri","","","","0","136678","","myotis","","0","","","","eutheria","chiroptera","iucn","dieteri","","","","","vespertilionidae","bats"
"1743","","Myotis diminutus","","","","0","100000230","","myotis","","0","","","","eutheria","chiroptera","newsp","diminutus","","","","","vespertilionidae","bats"
"1744","","Myotis dinellii","","","","0","136204","","myotis","","0","","","","eutheria","chiroptera","iucn","dinellii","","","","","vespertilionidae","bats"
"1745","","Myotis dominicensis","","","","0","14155","","myotis","","0","","","","eutheria","chiroptera","iucn","dominicensis","","","","","vespertilionidae","bats"
"1746","","Myotis elegans","","","","0","14156","","myotis","","0","","","","eutheria","chiroptera","iucn","elegans","","","","","vespertilionidae","bats"
"1747","","Myotis emarginatus","","","","0","14129","","myotis","","0","","","","eutheria","chiroptera","iucn","emarginatus","","","","","vespertilionidae","bats"
"1748","","Myotis escalerai","","","","0","100000231","","myotis","","0","","","","eutheria","chiroptera","newsp","escalerai","","","","","vespertilionidae","bats"
"1749","","Myotis evotis","","","","0","14157","","myotis","","0","","","","eutheria","chiroptera","iucn","evotis","","","","","vespertilionidae","bats"
"1750","","Myotis fimbriatus","","","","0","14158","","myotis","","0","","","","eutheria","chiroptera","iucn","fimbriatus","","","","","vespertilionidae","bats"
"1751","","Myotis findleyi","","","","0","14159","","myotis","","0","","","","eutheria","chiroptera","iucn","findleyi","","","","","vespertilionidae","bats"
"1752","","Myotis flavus","","","","0","100000232","","myotis","","0","","","","eutheria","chiroptera","newsp","flavus","","","","","vespertilionidae","bats"
"1753","","Myotis formosus","","","","0","14160","","myotis","","0","","","","eutheria","chiroptera","iucn","formosus","","","","","vespertilionidae","bats"
"1754","","Myotis fortidens","","","","0","14161","","myotis","","0","","","","eutheria","chiroptera","iucn","fortidens","","","","","vespertilionidae","bats"
"1755","","Myotis frater","","","","0","14162","","myotis","","0","","","","eutheria","chiroptera","iucn","frater","","","","","vespertilionidae","bats"
"1756","","Myotis gomantongensis","","","","0","40035","","myotis","","0","","","","eutheria","chiroptera","iucn","gomantongensis","","","","","vespertilionidae","bats"
