4716,"Heuglin","Acomys cineraceus","","","{\"1803\":1877}",0,265,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","cineraceus","","","Gray Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4718,"Dollman","Acomys ignitus","","","{\"1803\":1911}",0,266,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","ignitus","","","Fiery Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4720,"Dollman","Acomys kempi","","","{\"1803\":1911}",0,267,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","kempi","","","Kemp&#39;s Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4721,"Thomas","Acomys louisae","","","{\"1803\":1912}",0,268,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","louisae","","","Louise&#39;s Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4722,"Bate","Acomys minous","","","{\"1803\":1903}",0,269,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","minous","","","Crete Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"palearctic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4723,"Thomas","Acomys mullah","","","{\"1803\":1912}",0,270,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","mullah","","","Mullah Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4725,"Bate","Acomys nesiotes","","","{\"1803\":1903}",0,271,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","nesiotes","","","Cyprus Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"palearctic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4727,"Dollman","Acomys percivali","","","{\"1803\":1911}",0,272,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","percivali","","","Percival&#39;s Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4728,"Wagner","Acomys russatus","","","{\"1803\":1840}",0,273,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","russatus","","","Golden Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic, palearctic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4730,"Peters","Acomys spinosissimus","","","{\"1803\":1852}",0,274,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","spinosissimus","","","Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
4731,"Waterhouse","Acomys subspinosus","","","{\"1803\":1837}",0,275,"placentalia","acomys","",0,"É. Geoffroy Saint-Hilaire","","","eutheria","rodentia","iucn","subspinosus","","","Cape Spiny Mouse","boreoeutheria","muridae","rodents",\N,\N,\N,\N,"iucn",\N,\N,\N,"placentalia","deomyinae",\N,0,0,0,0,0,\N,\N,\N,"afrotropic",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"NA",\N,\N
