"canonical_sciname","id","species_authority","image","notes","authority_year","parens_auth_genus","taxon_author","parens_auth_species","genus_authority","deprecated_scientific","subspecies","source","species","taxon_credit","taxon_credit_date","common_name","citation","image_credit","image_license","entry","common_name_source","image_caption","species_authority_citation","genus_authority_citation","simple_linnean_group","simple_linnean_group_alt","major_type","major_subtype","simple_linnean_subgroup","linnean_order","linnean_family","linnean_subfamily","linnean_tribe","genus","juniorSynonym","synonymOf","TaxonomyNotes","TaxonomyNotes_Citation","extinct","geo_distribution","authority_fullcitation","authority_link","MDDv1","internal_id","newSppSinceMSW3","IfNew_category","IfNew_evidenceCitation","IfNew_evidenceAuthors","IfNew_evidenceYear","IfNew_evidenceLink","IfNew_nameCitation","IfNew_nameAuthors","IfNew_nameYear","IfNew_nameLink","genusTransfersinceMSW3","IfTransfer_oldSciName","IfTransfer_oldIUCN_ID","IfTransfer_evidenceCitation"
"Abrothrix sanborni","3599","Osgood","null","NULL","{""1943"":1943}","false","null","false","Osgood","null","null","iucn","sanborni","null","null","Sanborn&#39;s Grass Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","cricetidae","sigmodontinae","abrothrichini","abrothrix","false","","","","false","neotropics","","","true","754","false","","","","","","","","","","false","NA","",""
"Acerodon celebensis","1216","Peters","null","NULL","{""1831"":1867}","false","null","false","Eschscholtz","null","null","iucn","celebensis","null","null","Sulawesi Fruit Bat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","bats","chiroptera","pteropodidae","pteropodinae","","acerodon","false","","","","false","australasia/oceania","","","true","137","false","","","","","","","","","","false","NA","",""
"Acerodon humilis","1217","K. Andersen","null","NULL","{""1831"":1909}","false","null","false","Eschscholtz","null","null","iucn","humilis","null","null","Talaud Fruit Bat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","bats","chiroptera","pteropodidae","pteropodinae","","acerodon","false","","","","false","indomalayan","","","true","138","false","","","","","","","","","","false","NA","",""
"Acerodon jubatus","1218","Eschscholtz","null","NULL","{""1831"":1831}","false","null","false","Eschscholtz","null","null","iucn","jubatus","null","null","Golden-capped Fruit Bat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","bats","chiroptera","pteropodidae","pteropodinae","","acerodon","false","","","","false","indomalayan","","","true","139","false","","","","","","","","","","false","NA","",""
"Acerodon leucotis","1219","Sanborn","null","NULL","{""1831"":1950}","false","null","false","Eschscholtz","null","null","iucn","leucotis","null","null","Palawan Fruit Bat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","bats","chiroptera","pteropodidae","pteropodinae","","acerodon","false","","","","false","indomalayan","","","true","140","false","","","","","","","","","","false","NA","",""
"Acerodon mackloti","1220","Temminck","null","NULL","{""1831"":1837}","false","null","false","Eschscholtz","null","null","iucn","mackloti","null","null","Sunda Fruit Bat","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","bats","chiroptera","pteropodidae","pteropodinae","","acerodon","false","","","","false","indomalayan, australasia/oceania","","","true","142","false","","","","","","","","","","false","NA","",""
"Acinonyx jubatus","453","Schreber","null","4 well supported subspecies: A.j. jubatus, A.j., venaticus, A.j. hecki, A.j. soemmeringii","{""1775"":1775}","false","null","false","Schreber","null","null","iucn","jubatus","null","null","Cheetah","Kitchener A. C., Breitenmoser-Wu?rsten Ch., Eizirik E., Gentry A., Werdelin L., Wilting A., Yamaguchi N., Abramov A. V., Christiansen P., Driscoll C., Duckworth J. W., Johnson W., Luo S.-J., Meijaard E., O'Donoghue P., Sanderson J., Seymour K., Bruford M., Groves C., Hoffmann M., Nowell K., Timmons Z. & Tobe S. 2017. A revised taxonomy of the Felidae. The final report of the Cat Classification Task Force of the IUCN/SSC Cat Specialist Group. Cat News Special Issue 11, 80 pp.","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","true cats","carnivora","felidae","felinae","","acinonyx","false","","4 well supported subspecies: a.j. jubatus, a.j., venaticus, a.j. hecki, a.j. soemmeringii","kitchener a. c., breitenmoser-würsten ch., eizirik e., gentry a., werdelin l., wilting a., yamaguchi n., abramov a. v., christiansen p., driscoll c., duckworth j. w., johnson w., luo s.-j., meijaard e., o'donoghue p., sanderson j., seymour k., bruford m., groves c., hoffmann m., nowell k., timmons z. & tobe s. 2017. a revised taxonomy of the felidae. the final report of the cat classification task force of the iucn/ssc cat specialist group. cat news special issue 11, 80 pp.","false","afrotropical, indomalaya, paleartic","","","true","219","false","","","","","","","","","","false","NA","",""
"Acomys cahirinus","4714","É. Geoffroy Saint-Hilaire","null","NULL","{""1803"":1803}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","cahirinus","null","null","Cairo Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","afrotropics, palearctic","","","true","263","false","","","","","","","","","","false","NA","",""
"Acomys chudeaui","6062","Kollman","null","includes airensis","{""1803"":1911}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","null","chudeaui","null","null","NULL","Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G. (2009). Phylogeography of spiny mice (genus Acomys, Rodentia: Muridae) from the south?western margin of the Sahara with taxonomic implications. Biological Journal of the Linnean Society, 98(1), 29-46.","null","null","null","null","null","null","null","null","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","includes airensis","nicolas, v., granjon, l., duplantier, j., cruaud, c., & dobigny, g. (2009). phylogeography of spiny mice (genus acomys, rodentia: muridae) from the south‐western margin of the sahara with taxonomic implications. biological journal of the linnean society, 98(1), 29-46.","false","palearctic","","","true","100000369","false","","Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G. (2009). Phylogeography of spiny mice (genus Acomys, Rodentia: Muridae) from the south‐western margin of the Sahara with taxonomic implications. Biological Journal of the Linnean Society, 98(1), 29-46.","Nicolas, V., Granjon, L., DUPLANTIER, J., Cruaud, C., & Dobigny, G","2009","http://onlinelibrary.wiley.com/doi/10.1111/j.1095-8312.2009.01273.x/abstract","noneYet","Kollman","1911","noneYet","false","NA","",""
"Acomys cilicicus","4715","Spitzenberger","null","NULL","{""1803"":1978}","false","null","false","É. Geoffroy Saint-Hilaire","null","null","iucn","cilicicus","null","null","Asia Minor Spiny Mouse","NULL","null","null","null","iucn","null","null","null","eutheria","placentalia","placentalia","boreoeutheria","rodents","rodentia","muridae","deomyinae","","acomys","false","","","","false","palearctic","","","true","264","false","","","","","","","","","","false","NA","",""
