image,deprecated_scientific,common_name,simple_linnean_group,simple_linnean_subgroup,linnean_order,linnean_family,notes,genus,genus_authority,species,species_authority,subspecies,canonical_sciname,authority_year,major_type,major_subtype,taxon_author,taxon_credit,taxon_credit_date,parens_auth_genus,parens_auth_species,source,internal_id
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,jobihely,,,Microgale_jobihely,,,,,,,FALSE,FALSE,IUCN,136628
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,longicaudata,,,Microgale_longicaudata,,,,,,,FALSE,FALSE,IUCN,13344
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,majori,,,Microgale_majori,,,,,,,FALSE,FALSE,IUCN,62016
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,monticola,,,Microgale_monticola,,,,,,,FALSE,FALSE,IUCN,29462
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,nasoloi,,,Microgale_nasoloi,,,,,,,FALSE,FALSE,IUCN,62017
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,parvula,,,Microgale_parvula,,,,,,,FALSE,FALSE,IUCN,13349
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,principula,,,Microgale_principula,,,,,,,FALSE,FALSE,IUCN,13350
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,pusilla,,,Microgale_pusilla,,,,,,,FALSE,FALSE,IUCN,41314
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,soricoides,,,Microgale_soricoides,,,,,,,FALSE,FALSE,IUCN,62018
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,taiva,,,Microgale_taiva,,,,,,,FALSE,FALSE,IUCN,62019
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,talazaci,,,Microgale_talazaci,,,,,,,FALSE,FALSE,IUCN,41315
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Microgale,,thomasi,,,Microgale_thomasi,,,,,,,FALSE,FALSE,IUCN,13355
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Micropotamogale,,lamottei,,,Micropotamogale_lamottei,,,,,,,FALSE,FALSE,IUCN,13393
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Micropotamogale,,ruwenzorii,,,Micropotamogale_ruwenzorii,,,,,,,FALSE,FALSE,IUCN,13394
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Oryzorictes,,hova,,,Oryzorictes_hova,,,,,,,FALSE,FALSE,IUCN,40589
,,,eutheria,,AFROSORICIDA,TENRECIDAE,,Oryzorictes,,tetradactylus,,,Oryzorictes_tetradactylus,,,,,,,FALSE,FALSE,IUCN,40591
